	Summary	Job Title	Date	Overall Rating	Pros	Cons
145	Good Company to Start Career At	 Business Associate	24 Jan 2021	5.0	Flexibility, Lots of Opportunities, Good Mentorship, Truly Global	Sometimes still a bit rigid in terms of structure
146	Good	 Senior Systems Engineer	18 Jan 2021	4.0	"Flexible working hours, have work-life balance
management is good, care about wellbeing of individuals"	Can have slow processes and hard to get promotion.
147	Good Company	 Senior Software Test Engineer	17 Jan 2021	4.0	Flexible working hours and good work/life balance	Average employee age is high
148	Nice environment and company	 Software Engineer(Internship)	16 Jan 2021	5.0	We were given onboarding sessions as interns and it was made quite clear from the start that interns will have the opportunity to do real work here and are treated seriously as potential candidates to join the team. The conversion rate is high as far as I can remember and everyone I knew was working on something that was meant to put to use by the teams they were in. The environment as I knew it was positive.	Getting the necessary approvals to have access to software/code/environments took almost a month
149	Good place to retire	 Software Engineer	14 Jan 2021	4.0	"Good work life balance if not required to work with US teams
Good insurance
Tasks are simple"	"Hardly anyone gets promoted 
Work is driven by business not engineering teams
Salary can be much better for a company of this size and scale"
150	Great Company!	 Senior Software Engineer	8 Jan 2021	5.0	Great work culture where creativity is encouraged and appreciated!	Salary can be better especially for technology (to be on par with other leading tech giants)
151	Great culture and benefits	 Lead Engineer	4 Jan 2021	5.0	Exercises great culture and improving the benefits every year...	Slow in exploring / adopting new technologies
152	Nice place to work	 Senior Software Engineer	3 Jan 2021	4.0	Work life balance and good carrer growth	It took time to get promotions
153	Good company to learn business	 Senior Staff Software Engineer	24 Dec 2020	5.0	Good company to learn business	No dont see any Cons that really matters for me
154	Satisfied	 Anonymous Employee	6 Dec 2020	5.0	I'm happy to be part of visa team where I have got opportunity to showcase my talents and well rewarded in the first year itself. Visa is one place where your talent wont get unnoticed. Continue to do the good work.	No work life balance which is unfortunate not only due to covid and work from home, most of the work carried out from US time zone so ended up late night meetings and works.
155	OK so far	 Software Engineer	3 Dec 2020	5.0	Good environment for learning java	Ot can be very usually
156	The IBM of Payment Industry	 Senior Director	2 Dec 2020	3.0	"Financially strong.
People oriented.
Flexible work arrangement.
In a booming industry.
Strong brand.
Pays above average.
Al Kelly is pretty cool."	"It's a US company pretending to be an MNC, every decision is made in Foster City.
It's a financial company pretending to be tech company.
Company is very distracted by all the chaos at home (US), neglecting all other employees at hub sites who want to excel.
AP HR is utterly useless, just a glorified mouth piece for the so called 'Global' office.
Pay for performance is just a joke, low performing staff mysteriously gets RSU without a reason, while high performers were left in ditch. Direct manager has no say at all."
157	Very good perks	 Technical Support Analyst	29 Oct 2020	4.0	Snack and drinks are regularly restocked . Compensation and benefits are good.	ITIL practices are there but needs more polish.
158	BEST Company ever seen and worked.	 Senior Project Manager	28 Oct 2020	5.0	Open Culture. Fully Diverse & Inclusive. Great management. Excellent CEO.	supporting clients over multiple timezone, you may be working at odd times. But able to manage WLB due to flexibility.
159	Bad management	 Data Analyst	15 Oct 2020	3.0	Visa is a good company and probably has an excellent future, thanks to business model	Bad management especially at senior director and higher levels... Visa consulting and analytics is one of the worst managed teams..
160	Good team	 Recruiter	14 Oct 2020	4.0	Worked with one of the most demanding team in technology and learned a lot about working with stakeholders. Strong advocate of diversity and inclusion. They have have relatively good work life balance.	Limited opportunities in Singapore as majority of the initiatives are driven by the headquarter
161	good employer but limited advancement opportunities	 Senior Systems Analyst	29 Sep 2020	4.0	decent pay and good benefits	difficult to advance horizontally or vertically
162	A Company that advocates on diversity and inclusiveness	 Technical Account Manager	27 Sep 2020	4.0	Good welfare and thinks of both mental and health well-being for employees, especially during these times.	The renumeration can be better with the contributions made by performing individuals.
163	Lousy HR department	 Human Resources Professional	26 Sep 2020	1.0	Good corporate culture and ppl outside of HR are nice	"Lousy AP HR leaders
Toxic culture, bad work life balance"
164	Great company and great work culture!	 Software Engineer	23 Sep 2020	5.0	Great company and great work culture!	I did not have any complaints at Visa.
165	Nothing	 Project Manager	23 Sep 2020	5.0	Everthing all good All good	"All
Good no cons all good"
166	Great company	 Anonymous Employee	20 Sep 2020	3.0	Best talents in the region	Frequent restructuring, management and role changes
167	Good company	 Software Engineer(Internship)	19 Sep 2020	5.0	A vibrant and professional working environment	Because it is a big company so you don't get control of the big project
168	N/A	 Project Manager	17 Sep 2020	4.0	Great environment to work in	not many cons, da da
169	Global company	 Implementation Analyst	14 Sep 2020	5.0	Innovative, internal mobility, satisfying pay	No cons. Very satisfied with company
170	Not enough exposure	 Information Security Analyst	11 Sep 2020	3.0	Good corporate benefit and pay	Boss doesn't care your career interest
171	Good WLB	 Software Engineer Intern	7 Sep 2020	5.0	WLB, Learning opportunities, Good management style	None. Based on my experience so far
172	Pit of Vipers	 Senior Director	4 Sep 2020	2.0	"- High pay for middle management titles
- Able to coast by without doing any work if that floats your boat"	"- Political maneuvering to the EXTREME - in a company where 90% of people could go home and the company would still make money, people had no way to differentiate themselves except by politics
- The AP hub product team in Singapore went from a decent place to work to an absolute disaster in a couple of years
- Bad hires were never addressed - poor behavior and poor performance from managers was left unaddressed and the best people left
- Technology team is full of people who consider success to be having the most headcount, regardless of business outcome
- No documentation of processes or tools, company was in the process of locking down the one wiki we had so it wouldn't be possible to share information across areas
- Re-orgs happened regularly, every 6-12 months, creating constant fear and shuffling to try to get ahead of the next round of it"
173	Great experience	 Software Engineer Intern	1 Sep 2020	5.0	"Good team environment,
Helpful mentoring system"	COVID 19 internship becomes virtual
174	Java development backend	 Anonymous Employee	23 Aug 2020	4.0	Stable and nice working place. Sometimes the environment depends on the team you work. But overall it’s a nice place to work.	Sometimes it’s stressful. No time for error. Too much process driven.
175	Fantastic culture	 Vice President	23 Aug 2020	5.0	Bright people, great culture, working on cutting edge of digital,payments	Sometime bureaucratic slow to make decisions
176	Good environment for interns	 Software Engineer Intern	19 Aug 2020	4.0	Relax and mentor is concerned about your development	Technical work is not very exciting.
177	Great Interview Experience!	 Software Engineering Intern	17 Aug 2020	4.0	Great working culture and work life balance	So far I don't think there's any con
178	great place to learn and work	 Human Resources Analyst	17 Aug 2020	4.0	benefits are insanely good, diverse culture and sleek office	politics - but which company doesnt have?
179	Overall good experience	 Software Engineer(Internship)	4 Aug 2020	4.0	Good working hours and people	Intern management can be better
180	Good Learning opportunities	 Intern	24 Jul 2020	5.0	"- good timeline
- flexible working arrangements"	- work can be alot and challenging
181	Great place to work	 Manager	16 Jul 2020	5.0	Great executive leadership and culture	Processes can be difficult to navigate
182	Good company with great benefits	 Business Development Manager	13 Jul 2020	5.0	With the right leader, it's easy to see how your role is aligned with the goals of the company	Progression is challenging with the flat structure.
183	Innovative and great work culture	 Director	8 Jul 2020	5.0	Innovative , Great Work Culture, good employee benefits	Annual pay hike could be better
184	Good	 Senior Director	6 Jul 2020	4.0	Good place to work overall	Senior management has too much power without appropriate checks & balance
185	Treatment of Contractors	 Consultant	21 Jun 2020	4.0	welcoming, great culture, people are friendly	I didn't like the fact that certain internal websites/databases were only available to full time employees although in my role, I was expected to be performing at the level of a full time employee without access to a lot of information.
186	Good	 Human Resources	17 Jun 2020	4.0	Friendly and warm company that helps you achieve	Office politics and some favoritism
187	Open culture	 Analyst	29 May 2020	5.0	Great mentors, colleagues and interesting time to be in payments	Slow matrixed organization, requires a lot of approvals
188	Fantastic Internship experience!	 Intern	29 Apr 2020	5.0	Competitive pay in the industry.	No cons. Really good environment and opportunity :)
189	Great Working Experience	 Senior Systems Analyst	27 Apr 2020	4.0	"Work-life balance
Good compensation
takes care of permanent employees"	Due to covid19, they have started freeze hiring and layoffs
190	Collaboration first	 Senior Director	27 Apr 2020	3.0	Focus on work life balance	Need to make effort to collaborate
191	review	 Software Engineer	25 Apr 2020	3.0	I can learn a lot of stuff	The learning curve can be rather steep
192	Good company to expand your career	 Staff Engineer	19 Apr 2020	4.0	Good opportunities as the company as a whole is looking to keep getting better at technology.	It is so big the operations are so much spread out, it could be slow at times
193	Nice company to work with	 Staff Software Engineer	12 Apr 2020	5.0	"Good work environment
No work overload"	So far nothing I came across
194	Bad company for young people	 Software Engineer	26 Mar 2020	2.0	Great work life balance here	Politics, favoritism, mediocre management, no career growth
195	Good culture and work life balance	 Software Engineer	12 Mar 2020	4.0	It depends on the team that you join. Generally, the culture is flexible,  open communication, team members support one another, promote learning.	The career progression is slow. The advancing of a career can be fast or slow depending on the team itself. The task on hand might not be always interesting.
196	Pathetic Managers, Great WLB	 Senior Software Engineer	12 Mar 2020	2.0	Good work life balance, global brand, competitive salary	Terrible managers, too hierarchical, obsolete technologies, slow paced
197	Good work life balance	 Senior Project Manager	10 Mar 2020	3.0	Flexible working environment with good employee focused benefits.	Fast paced environment. More structure needed for their processes.
198	Good company with huge potential to grow	 Senior Software Engineer	11 Feb 2020	3.0	"Competitive salary and very good perks way above market standards.
Excellent work life balance.
Huge company with almost all the skillsets and technologies that you want to work on.
They are working hard at the top level to be in the competitive market and continuously working to work on some cool products based on changing consumer market."	"Management level politics. Especially with Indian managers at the top position. The positions are filled with preferential candidate even before they are open to other internal candidates/ general public  for a competition.

If the funds allocated to to each team could be used in a better way would be more benifitial.

Its difficult to get to next level, as there goes a lot of politics and favouritism behind promotions as well and even though the company has a good policy to support internal mobility, the hiring managers know how to exploit that option and in the end it turns out to be a tool exploited by hiring manager to get someone they like."
199	Sr. Analyst	 Senior Business Analyst	21 Jan 2020	5.0	Visa provides you with international business experience regardless of the team you work for. It's a very open company culture with an increased focus on eliminating silos across business functions.	At a large company, you're bound to encounter some silos. However, it's only top of mind for me because Visa management so openly discusses changing that.
200	Cool internship	 Intern	2 Jan 2020	4.0	Cool benefits And really diverse company	Nothing at the moment
201	Lead software delivery engineer	 Anonymous Employee	13 Dec 2019	5.0	Carrier growth, benefits, work life balance	Nothing as such for now
202	Relevant, Senior, Experienced	 Anonymous Employee	10 Dec 2019	3.0	Good benefits and good welfare. Focused on growth and being the market leader.	Lack of job security, company does not address major concerns of employees, to many restructuring that results in many job cuts and staff displaced.
203	.Net Developer	 Anonymous Contractor	4 Dec 2019	4.0	work life balance is excellent	As per me nothing major
204	Senior Software Engineer	 Senior Software Engineer	29 Nov 2019	4.0	Best benefits; Chances to learn	Managers are unfair or bias sometimes
205	Great place!	 Senior Director	21 Nov 2019	4.0	Good environment. Great team. Good work life balance.	sometimes lazy. Takes things for granted.
206	Software Engineer Internship	 Software Engineer Intern	18 Nov 2019	5.0	Great experience with the company, proper internship program with opportunity to work on ongoing projects.	Some projects require coordination with overseas team, meaning having to stay up or work early
207	+ and -	 Anonymous Employee	12 Nov 2019	3.0	Benefits, compensation and working relationship with peers	2nd level managers are setting up fiefdoms and are not in tune with what is going on in the grounds.
208	Senior Staff Software Engineer	 Staff Software Engineer	23 Oct 2019	4.0	Great people with lot of knowledge	Very much agile and a lot of learning curve
209	Software Engineering Intern	 Anonymous Intern	23 Oct 2019	5.0	Helpful colleagues, Leaders that care, HR that makes effort to know interns	Diversity may be lacking. Office can be more vibrant
210	Internship Review	 Intern	21 Oct 2019	5.0	Very open staff that are very willing to help	Not that i can think of, enjoyed my time there
211	Visa Singapore - Tech employee review	 Anonymous Employee	18 Oct 2019	4.0	"1. Good brand name
2. Median salary
3. Flexibility on time, work from home
4. Access to latest technology and training"	"No work life balance, tremendous work pressure.
Managers have great authority, so if you are lucky with a good manager, you will enjoy life at Visa. But if you are work with a bad manager your life is hell and no support from HR."
212	Great Intern experience	 Summer Intern	7 Oct 2019	5.0	"Above average intern pay
Good program"	Nothing much really, big company so theres more processes to get used to.
213	Management should be more mature	 Senior Software Engineer	30 Sep 2019	3.0	"- Good work life balance
- Good pay"	"- Mostly in SG people are either contingent workers got converted or people from Banks, hence they have very limited engineering experiences to solve complex problems
- Management is quite slow in making technology decisions
- Seniors expect to give them respect though we juniors tend to be more technically mature
- Corporate politics with very biased nationality presence"
214	Best Intern Experience	 Anonymous Intern	21 Sep 2019	5.0	People here are open minded and friendly. All my coworkers are helpful in helping me with tasks or in areas I had little to no knowledge in. They treat me more than an intern and always invited me to sit in for high-level meetings which sometimes I feel a little out of place but I really appreciate it.	My not-so-good experience came from certain individuals which doesn't really matter. Also, I was unable to extend my internship from 6 months to 9 months because of some 'policy' which I believe it's just from the HR side. Intern pay is lower than the other companies I have interview for too.
215	Software Engineer Intern	 Senior Software Engineer	14 Sep 2019	4.0	"Not much burden, easy to implement.
Team env is good."	"Boring, too easy, not much impact. 
CICD pipeline is incomplete."
216	Diversity & Inclusion	 VP1	30 Aug 2019	1.0	"Good Internal mobility practices and pay scale that is fairly competitive for most roles. 
Making efforts to tap into non traditional segments within payments."	D&I is about events, PR, photos , linkedin posts and publicity. They do a great job packaging and telling people what to do. Fabulous way of integrating folks into the company! Inauthentic leadership and top management. Agree with a bunch of my fellow colleagues - Australians , Blond/e  rule this place.  If you don't match these categories Mastercard may be a good bet. Current HR team cannot be trusted - one of the worst and most political functions within Visa.
217	QA Engineer - Automation tester	 QA Engineer	29 Aug 2019	4.0	"-amenities
-well connected to the mrt
-quality work 
-good work-life balance"	-lesser salary when on contract
218	Simply dont care	 Manager	2 Aug 2019	1.0	Good salary and work life balance (this is because no one care about work)	No transparency and ineffective management
219	Best in Class	 Project Manager	21 Jun 2019	5.0	Focused and helpful team members.	Processing to hire is very slow process
220	One of the best company to work for.	 Staff Engineer	28 Apr 2019	5.0	"1.Lots of exposure to different facet of payment
2. Variety of project towork for.
3. Good salary, employee friendly."	"1. Work life balance is a challenge at tlimes.
2."
221	Sr Systems Analyst	 Senior Systems Analyst	11 Apr 2019	4.0	Latest tech trainings and lot of recreational clubs	The rate of promotion is slow
222	Regional HR practices in AP.	 Sales Manager	6 Apr 2019	2.0	Visa global brand Global CEO	HR policy strictly disallow double promotion. But there is inconsistency in practices. Another senior regional HRBP discredited other candidates for a person she referred during the screening process.
223	Freedom to work	 Senior Software Engineer	3 Apr 2019	4.0	"- No one limits you on your ideas
- Since everyone is learning, good place to try different roles
- Great work life balance"	"- Lots of Indians across the company which creates difficult in change of thought process
- Politics are as usual expected in big companies
- No one is an expert in their domain so friction in some discussions"
224	Consistent Company that Seeks to Keep Pace with Change	 Director	1 Apr 2019	4.0	"- Inner Mobility 
- Cultivates Talent
- Flat Organization
- Smart, Kind, Challenging Leadership
- Values-oriented
- Good Overall Mission
- Excellent Benefits 
- Collaborative + Collegiality"	"- Leadership does not clearly articulate strategic priorities for the company to follow 
- Needs to strike a better balance between empowering local markets and driving a clear vision that they can properly execute
- Diversity on board (mostly U.S.-Centric, which shows in how our competitors are out-pacing us around the world) 
- Though well-intended, would benefit from a President with more technology and international experience ... need more bold thinking and focus
- Huge disparity between how titles are awarded in the U.S. and elsewhere in the world. There are Vice Presidents and Senior Directors working on presentations and operational issues in SF versus Directors charged with P&L for business units across an entire sub-region. Would benefit from FEWER title levels at mid to senior management  thus allowing for mobility through payscale (e.g. Manager, Director, VP, EVP - done)"
225	Easy Job No Pressure	 Anonymous Employee	20 Feb 2019	3.0	"1. Easy Job 
2. No Pressure
3. Work Life Balance is Good"	"1. Too many Indian
2. Promotion is too slow."
226	Sr System Analyst	 Senior Systems Analyst	20 Feb 2019	5.0	Company provides good benefits to  its employees and the working environment is good.  You can build your personnel development as the company supports training .	It is very hard to move up in the Career as the efforts are not much recognized. you need to be in good books for any kind of appreciation.
227	good company but bad place to do coding.	 Software Engineer	5 Feb 2019	4.0	"- The team I am in has some of the best people Ive ever worked with. Great team dynamics. (partly thanks to the good manager)
- good w/l balance, good benefit, flexible hours."	"There are many good things about this company, but if you want people to believe visa as a good tech comapny, there left so much to be desired.

The overall engineering culture sucks. Code quality is generally bad, engineering process and internal tools are old. But worst of all, a lot of engineers don't bother to make better efforts, leaving holes that later come back to bite others in the butt."
228	Great culture, good pay, great vision	 Senior Director	16 Jan 2019	5.0	Strong culture, switched on senior executives, good work life balance, great diversity and inclusion focus	Collaboration between business units needs to improve
229	White Boys Rules in Apac office	 Anonymous Employee	15 Jan 2019	3.0	Mainly Australians in management. if you are a white boy, fab company.	Most Asians are not invited to the table of influence. Asian Women in Apac office are extremely rare seen in senior management positions. They run diversity discussion to address the issue but it starts with the management comfortable working with their own boys club.
230	Work life	 Software Engineer	11 Jan 2019	5.0	"Great work-life balance
Flat organization chart
Easy to grow
Great benefits"	Lots of internal politics inside the teams
231	Visa Internship	 Software Engineer(Internship)	9 Dec 2018	5.0	"- Great company culture and working environment
- Various activities
- A company caring for its employees"	No any countable cons really
232	Software development engineer	 Staff Software Engineer	9 Dec 2018	5.0	"1. Great work culture
2. Great leadership team
3. Interesting , challenging work
4. Flexible work time 
5. No politics"	"1. Location constraints & strategy
2. Slow hiring process"
233	Visa	 Intern	1 Nov 2018	5.0	Big company, many opportunities	Big company,a little difficult to adapt
234	Excellent experience for an Internship	 Intern	25 Oct 2018	4.0	"- Flexible working hours
- Autonomy to experiment and work on open source technologies
- The company invests heavily in your learning and development such as having Visa University
- Business trip  to San Francisco, the USA for an internship summit
-  Good culture with very friendly people"	"- Due to different locations and timezone, you might be required to come in early to attend meetings from time to time
- Non-competitive salary offered for the graduate role as compared to other tech companies of the same size
- Other than these, Visa is a really great place to work"
235	A giant with very old mineset	 Senior S/W Engineer	15 Oct 2018	2.0	Work-life balance and benefits are good.	Not inclusive as they claim to be. Bias and politics. Most of the time the difficulties are not coming from the work itself. Everyday work there is kind of boring. Some people just sit there and wait for their paychecks.
236	A good place to work	 Anonymous Employee	5 Oct 2018	4.0	Good employee benefits, a culture that encourages learning, good work/life balance	Needs to have fairer pay scale.
237	Good place to learn and grow	 Senior Software Engineer	12 Sep 2018	5.0	As mentioned in the title, i learnt a lot. Very flat hierarchy	Office politics affects day to day productivity
238	Good company with excellent work life balance	 Software Engineer	28 Jul 2018	5.0	"Long holidays, excellent work life balance
Big office
Nice structured program
holistic experience in the industry"	Salary below the industry average
239	Good company name value only	 Anonymous Employee	15 Jul 2018	2.0	"- Good company name value
- Good work-life balance
- Good benefits (medical/personal leave, medical benefits)
- Very motivated, hardworking CEO and President"	"- It is a US company but run like an Asian company with Asian values. It's a pity because globally the company works really hard to maintain and live up to its value.
- Employees do not leave (most of the managers have been here over 10 years and don't plan on leaving, ever) 
- Difficult to survive if not involved in office politics
- Overall pool of employees are older generation (no entry-level)
- Resistant to change
- Any complaints or reports are not dealt with properly. Employees are told to voice out their concerns and when they do they are told to keep quiet and 'let things pass without stirring the team'. Saw this happening before I left, feel bad for the team who have to deal with it when everyone already knows."
240	White boys (and girls) club	 Anonymous Employee	21 Jun 2018	2.0	Amazing brand, good employee-focused culture, modernizing (ableist slowly), small enough company to feel that family spirit	"A really white-centric company, especially in AP Hub. 

As others reviews have said, being non-white / westernized immediately discounts your perception as a leader. 

They keep trying to act like diversity is a big focus and avoid the ethnic diversity question by making it all about gender diversity. 

They keep saying they’re making efforts on ethnic diversity but it’s nothing really. The latest wave of restructuring has only reinforced the white dominance at every layer of management. 


Guess what, gender diversity is not your biggest problem, ethnic diversity in leadership roles is. And you’re doing nothing about it.

Virtually al leadership teams in AP hub are mostly white. All ‘working teams’ as they condescendingly put it are mostly Asian. No space for Asians in
mid management or above. It’s really sad, like reliving what our ancestors went through during colonial times. 

Do you really expect us to believe that there is no real leadership talent available in all of Asia Pacific minus ANZ (the most populous region on earth), including the thousands of Asians already working at Visa? Are they all missing that special something? 

Or is it more likely that the talent is there, it’s just that your white bias makes you discount it?"
241	Digital Service Specialist	 Anonymous Employee	9 Jun 2018	4.0	Balanced work-life, Respect from peer colleague and senior management, encouragement of joining extra-curricular activities to contribute to the society, flexi credits, company stocks subscription	Will be better if higher promotion opportunity
242	Visa Singapore - Great place if you are good team	 Staff Software Engineer	16 Apr 2018	4.0	"- Best perks in industry
- very supportive team amd management
- chance to work with new technology stack 
- great team culture (depends on team)"	"- since a lot of old employees so they try to create dependency upon themselves and very seldom share there knowledge
- Teams have grown 5-8 folds in last 3 years, so growth opportunities have become limited as they have mentality of promoting people by numbers(max 3 per team etc etc) instead of looking if the people in question are already performing at next level at the work.
- Very slow to accept change
- business driven not technology driven."
243	Great place to work... if you're white	 Anonymous Employee	13 Mar 2018	3.0	"Increasingly hiring better talent, younger people, and starting to modernise
Rare example of genuine cultural transformation towards digital (design thinking, innovation, #getdigital etc.)
Great comp and bonuses
Stock is galloping
Internal mobility"	"1. There's a huge bias (subconscious or concious) that only caucasians can make good leader.

In AP Hub, few locals/Asians make it beyond SD whereas white folks with little industry experience get VP in their early 30s.

Some teams have literally all-white leadership teams with legions of Asians working under them. Ironically this is the ASIA business. When a white leader leave, they hire another (or one of the other white lead takes on the leaving person's territory). 

Sure APLT has a few token locals and Indians but those too are far outnumbered and the heavily westernised types.

Who can you complain about this? Your Aussie recruiter? Or the Aussie HR? Or the same thing up the command chain.

2. Constant restructuring and lots of childish politics at SVP levels"
244	Stable company with good benifits	 Information Systems Engineer	1 Jan 2018	4.0	"Innovative 
Great benefit
Dynamic environment, fast pace, technology keeps on changing and best place to learn new things"	"High rate of politics that push great employees to leave
Less Work life balance"
245	Good stable company with good benefits	 Senior Customer Service Representative	28 Nov 2017	5.0	"had to work in amazing international team
good benefits incl various allowances, health check etc."	slow and difficult promotion process
246	something	 Senior Account Manager	19 Nov 2017	5.0	Good Pay. Average Bonus.	nothing so far. not noticed
247	Staff Software Enginner	 Staff Software Engineer	26 Oct 2017	5.0	"Good work place.
Decent work life balance.
Salary on par with Other organisation.
Along with work many good clubs within organisation for personal growth.
One of the best organisation i worked with and would love to join back i if ever get a chance."	Heard few  people face issues  because of not being under good management.  I was lucky to be under good managers so cant' comment on that.
248	Ok compensation but expect no growth.	 Senior Software Engineer	26 Oct 2017	3.0	"VISA provides competitive salary for relevant experience
The Benefits and compensation are good
The Work-life balance here is also good"	"No professional growth
To much lobbying by incompetent managers
Not worthy people in mid & upper management
Raising concerns may backfire"
249	Great brand offset by poor leaders	 Senior Finance Manager	19 Oct 2017	2.0	Ethical and trusted brand to work for.  New CEO wants to make a difference in people management practices, but it takes time to undo entrenched mindsets of leaders.	Sycophancy, diversity of thought only in decks, new leadership principles ineffective due to siloed function leaders unwilling to change in spirit.
250	Great organisation	 Staff QA Engineer	30 Sep 2017	5.0	"Its a great company to work for.
Take care of the Employee's interest.
Good in terms of compensation.
Works on cutting edge technology"	"Aggressive work schedule.
Work life is a delicate balance"
251	Best Company to Work	 Anonymous Employee	24 Sep 2017	5.0	"Decent Pay
Good Projects
Very Good Work life balance"	Some projects may be legacy projects
252	Too much politics, no work life balance	 Anonymous Employee	18 Aug 2017	2.0	It is a company that you will be able to learn a lot in experience. Good remuneration compared to other companies in Singapore	There is too much politics here which makes it really hard for employees to do their job. The Senior Directors and up all care about themselves and save their positions. There is too much chaos and too any reorg. The employees are treated like slaves or robots that
253	Overall a good company though cold	 Anonymous Employee	4 Aug 2017	4.0	Company looks after staff, flexi time, plenty of training available & work-life balance.	"- Too many long serving employees who are resistance to changes.
- The company is not open to suggestions though they promote diversity 
- HR has lots of room for improvement - solve your own problem if you have. 
- Same as other MNCs, promotion/transfer is allowed based on connection"
254	Software eng	 Software	15 Jul 2017	4.0	Good working environment. Learn lot	Late night work hurts lot
255	Software/Data Engineer at Singapore	 Software/Data Engineer	10 Jul 2017	5.0	"Really like the mentorship
People are very friendly
Bosses are very helpful
There are meaningful impacts of what Visa is doing
You can have opportunities for work life balance - like sports club and comm services."	Departments work in silos. So sometimes you need to actively reach out to people and ask what they are doing.
256	Good Brand !!	 Director	12 Jun 2017	3.0	"Industry leader
good exposure to payments"	"highly inefficient
more talk less execution"
257	Poor quality of software development	 Software Engineer	29 May 2017	3.0	- benefits are quite good	- software development quality is very bad
258	High performance and great place to work - if you have the right manager and in the right function	 Business Executive	12 May 2017	5.0	Above market comp and benefits. Mostly good working environment. Work life integration is commendable.	"Cross functional movement - even lateral - isn't easy. Still top heavy and red tape, despite the ""tech"" pace and culture it tries to sell everyone."
259	Company is trying so hard to reinvent itself	 Staff Software Engineer	6 May 2017	4.0	"Benefit is pretty good
work life balance is good"	"individual culture is not respected by others
Senior management just focused on politics
non-transparent culture where important decision is communicated within the inner circle. 
transferring between teams is a painful process
No process is enforced ."
260	Project Manager	 Project Manager	18 Apr 2017	3.0	Great exposure, Marker dominant and Leader, Advance Technology and product, their every single action and movement seems to be a new potential opportunities	Political, US centric thinker, Proud, Lack of team collaboration among US HQ with regional and country team, professional but no team work
261	NA	 Senior QA Engineer	6 Apr 2017	2.0	This is a big company and provides good benefits for all employees. Working hours are flexible but depend on team.	Process are complicated, not easy to integrate all modules. There are many documents, but they are not organized well, thus newcomers find that lack of information.
262	Great company, very focused on innovation and change internally and externally.	 Senior Director	1 Apr 2017	5.0	Committee to change, great leadership team, huge focus on innovation and the future of payments, dynamic and exciting workplace, great benefits	Some legacy processes and rules / procedures, which current management is committed to changing. Understaffed in some areas, but that also creates opportunity for broader job scope and opportunity to really make an impact in your role.
263	VP	 Vice President	18 Mar 2017	4.0	Open minded to help build creative solutions	Silo management structure too restrictive to breed crossed department sharing.
264	Client Relationship Manager	 Client Relationship Manager	13 Mar 2017	2.0	Great brand, other than branding, there is nothing else.	Identity crisis.  Visa positions itself as technology company, but deep inside it is a financial service company.  Technology and innovation are just marketing slogans.  The company is struggling for change but there is not much room for that.   Senior management doesn’t truly understand technology and how does it drives consumer behavior.
265	Large company trying to reinvent itself	 Manager	10 Mar 2017	4.0	Brand, work life balance, innovative	Frequent restructuring, budget cuts, headcount freeze
266	Quite good working environment	 QA Engineer	5 Mar 2017	4.0	Working in Visa is generally a good experience. The company offers good pay, employee benefit and training opportunities. We have gym, classes and various events here.	The culture and structure in Visa is not diversified enough. Employees tend to refer their relatives and friends to the same team.
267	Paradise lost	 Senior Director	8 Feb 2017	3.0	"Visa has a fantastic business model with strong financials. Very few companies of its size can claim to have a 40% margin. It's nearest competitor (MasterCard) is almost a clone and poses no real threat. They are both happy to coexist and protect their margins.

There is awesome potential to grow with a lot of countries rapidly moving to electronic payments. There is a strong brand with established relationships in key high growth markets across the globe.

Most of Visa's growth comes not through its own innovation but by virtue of being in fast growing markets. The boat moves forward thanks to the currents (and not the rowers)."	"It's management and its managers... For a global company, its managers have poor people management skills. Though USA forms an increasingly small portion of revenues, the management is completely US centric and frighteningly myopic about it. The world outside of USA is an afterthought to most leaders.

Most leaders are busy in playing politics and making others look bad. The nature of business is such that most folks don't have the ability to influence profitability. Banks wont change to MasterCard or any other competitor on a whim because of high exit costs. They'd need to reissue new cards and branding, both of which cost money and don't necessarily yield returns. So with very little control over financial outcomes, most people realize that perception is the only battle they can wage. So everyone just manages to afloat playing politics."
268	Senior Director	 Senior Director	1 Feb 2017	5.0	Very good management, good work life balance, if you put your best and work hard then sky is the limit	Limited growth opportunities in Singapore, US still plays a major role
269	Company of dreams	 Software Engineer	28 Dec 2016	5.0	Coworkers are very easy-going people, and I really felt it when they are welcoming me. Flexible working hours but you have to be committed to your work. Good company benefit and salary for a fresh-graduate like me.	The onboard procedures are vague, I have been here for a week and not knowing what to do except browsing through their internet website and learn more about the company as a new employee.
270	Great place to work but has too many political internal issues	 Manager	16 Dec 2016	2.0	"Great work culture depending on the team you are in. 
Good benefits."	"Too many internal politics to make it hard to get anything done. 
Promotions are almost impossible. 
Insincere HR team."
271	Stay away from Visa	 Anonymous Employee	5 Nov 2016	1.0	No pros.....company looks good from outside....from inside, its a mess	Foot-licking culture from top to bottom, worst HR I have ever seen, especially those sitting in China. HR is just clerk to White guys!
272	Great company, can be greater	 Business Development	20 Oct 2016	4.0	Generally collaborative with plenty of opportunity to get involved with work that cuts across the region because Singapore functions as a hub for Asia Pacific.	As a result of being a matrix organization, decisions and time to market suffers because there becomes an increasing number of stakeholders to attain support and buy in from.
